code,name,gender,country_code,nationality,disciplines,birth_date
1968850,ROGGE Lieke,Female,NED,Netherlands,['Water Polo'],30.11.2000
1968851,ROGGE Bente,Female,NED,Netherlands,['Water Polo'],2.10.1997
1968853,TEN BROEK Nina,Female,NED,Netherlands,['Water Polo'],4.07.2001
1968854,MOOLHUIJZEN Lola,Female,NED,Netherlands,['Water Polo'],17.08.2004
1968855,van de KRAATS Simone,Female,NED,Netherlands,['Water Polo'],15.11.2000
1968856,JOUSTRA Kittylynn,Female,NED,Netherlands,['Water Polo'],11.01.1998
1968857,SLEEKING Brigitte,Female,NED,Netherlands,['Water Polo'],19.03.1998
1968858,van der SLOOT Sabrina,Female,NED,Netherlands,['Water Polo'],16.03.1991
1968860,KEUNING Maartje,Female,NED,Netherlands,['Water Polo'],26.04.1998
1968945,YOUSSEF Alisar,Female,SYR,Syria,['Athletics'],7.05.2005
1968949,KUANY Kuany,Male,SSD,South Sudan,['Basketball'],8.07.1994
1968951,BIDANI Walid,Male,ALG,Algeria,['Weightlifting'],11.06.1994
1968967,KUOL Bul,Male,SSD,South Sudan,['Basketball'],10.01.1997
1968994,MAKOI Jackson,Male,SSD,South Sudan,['Basketball'],3.07.2000
1969115,MALUACH Khaman,Male,SSD,South Sudan,['Basketball'],14.09.2006
1969153,VOLLERING Demi,Female,NED,Netherlands,['Cycling Road'],15.11.1996
1969159,van DIJK Ellen,Female,NED,Netherlands,['Cycling Road'],11.02.1987
1969165,VOS Marianne,Female,NED,Netherlands,['Cycling Road'],13.05.1987
1969166,WIEBES Lorena,Female,NED,Netherlands,['Cycling Road'],17.03.1999
1969167,PIETERSE Puck,Female,NED,Netherlands,['Cycling Mountain Bike'],13.05.2002
1969169,TERPSTRA Anne,Female,NED,Netherlands,['Cycling Mountain Bike'],5.01.1991
1969170,van BELLE Lisa,Female,NED,Netherlands,['Cycling Track'],30.01.2004
1969173,van der DUIN Maike,Female,NED,Netherlands,['Cycling Track'],12.09.2001
1969174,SMULDERS Laura,Female,NED,Netherlands,['Cycling BMX Racing'],9.12.1993
1969176,SMULDERS Merel,Female,NED,Netherlands,['Cycling BMX Racing'],23.01.1998
1969177,BAAUW Judy,Female,NED,Netherlands,['Cycling BMX Racing'],12.02.1994
1969178,van der PEET Steffie,Female,NED,Netherlands,['Cycling Track'],10.09.1999
1969179,LAMBERINK Kyra,Female,NED,Netherlands,['Cycling Track'],15.04.1996
1969180,van de WOUW Hetty,Female,NED,Netherlands,['Cycling Track'],29.05.1998
1969181,VEENSTRA Manon,Female,NED,Netherlands,['Cycling BMX Racing'],6.07.1998
1969182,LAVREYSEN Harrie,Male,NED,Netherlands,['Cycling Track'],14.03.1997
1969195,DORENBOS Yanne,Male,NED,Netherlands,['Cycling Track'],15.09.2000
1969196,van BAARLE Dylan,Male,NED,Netherlands,['Cycling Road'],21.05.1992
1969199,HOOLE Daan,Male,NED,Netherlands,['Cycling Road'],22.02.1999
1969202,van der POEL Mathieu,Male,NED,Netherlands,['Cycling Road'],19.01.1995
1969203,HOOGLAND Jeffrey,Male,NED,Netherlands,['Cycling Track'],16.03.1993
1969204,van LOON Tijmen,Male,NED,Netherlands,['Cycling Track'],20.03.2001
1969212,BRINK Jaymio,Male,NED,Netherlands,['Cycling BMX Racing'],9.05.2004
1969213,van SCHIP Jan Willem,Male,NED,Netherlands,['Cycling Track'],20.08.1994
1969216,HAVIK Yoeri,Male,NED,Netherlands,['Cycling Track'],19.02.1991
1969217,van der BURG Dave,Male,NED,Netherlands,['Cycling BMX Racing'],10.07.1993
1969218,van den BERG Roy,Male,NED,Netherlands,['Cycling Track'],8.09.1988
1969239,BOUDIAF Saoussen,Female,ALG,Algeria,['Fencing'],31.12.1993
1969253,OMOT Nuni,Male,SSD,South Sudan,['Basketball'],3.10.1994
1969283,NIMUBONA Yves,Male,RWA,Rwanda,['Athletics'],15.08.1998
1969305,KEHLI Zohra Nora,Female,ALG,Algeria,['Fencing'],17.01.2001
1969315,SHAYOK Marial,Male,SSD,South Sudan,['Basketball'],26.07.1995
1969322,THOR Jt,Male,SSD,South Sudan,['Basketball'],26.08.2002
1969324,MOHAMED BELKEBIR Kaouther,Female,ALG,Algeria,['Fencing'],5.08.2003
1969332,AJAYI Kayinsola,Male,NGR,Nigeria,['Athletics'],14.09.2004
1969337,BENADOUDA Chaima,Female,ALG,Algeria,['Fencing'],17.12.2003
1969351,ASHE Favour Oghene Tejiri,Male,NGR,Nigeria,['Athletics'],28.04.2002
1969353,HEROUI Salim,Male,ALG,Algeria,['Fencing'],19.03.1999
1969457,GODBLESS Tima,Female,NGR,Nigeria,['Athletics'],14.07.2004
1969461,KONE Carmel,Male,BUR,Burkina Faso,['Judo'],16.07.2000
1969546,NAJJAR Lais,Male,SYR,Syria,['Artistic Gymnastics'],8.10.2002
1969547,OFILI Favour,Female,NGR,Nigeria,['Athletics'],31.12.2002
1969562,SAHAKIAN Mariana,Female,LBN,Lebanon,['Table Tennis'],2.09.1977
1969603,CONROY Jordan,Male,IRL,Ireland,['Rugby Sevens'],10.03.1994
1969607,CHUKWUMA Rosemary,Female,NGR,Nigeria,['Athletics'],5.12.2001
1969628,TULEN Tristan,Male,NED,Netherlands,['Fencing'],22.07.1991
1969716,GIOVANNINI Gaia,Female,ITA,Italy,['Volleyball'],17.12.2001
1969721,KHODIR Yassin,Male,EGY,Egypt,['Fencing'],4.04.2005
1969767,ECHARGUI Moez,Male,TUN,Tunisia,['Tennis'],10.01.1993
1969769,AL BALUSHI Ali Anwar Ali,Male,OMA,Oman,['Athletics'],9.02.2002
1969772,TSITSIPAS Petros,Male,GRE,Greece,['Tennis'],27.07.2000
1969785,AL ALAWI Mazoon,Female,OMA,Oman,['Athletics'],14.11.1997
1969797,BAYAN Hasan,Male,SYR,Syria,['Judo'],29.08.2001
1969800,MAMMERI Tanina Violette,Female,ALG,Algeria,['Badminton'],17.06.2003
1969815,MAMMERI Koceila,Male,ALG,Algeria,['Badminton'],23.02.1999
1969830,WARD Zac,Male,IRL,Ireland,['Rugby Sevens'],11.12.1998
1969964,OTSUKA Tatsunori,Male,JPN,Japan,['Volleyball'],5.11.2000
1970190,VISSER Naomi,Female,NED,Netherlands,['Artistic Gymnastics'],24.08.2001
1970191,VEERMAN Sanna,Female,NED,Netherlands,['Artistic Gymnastics'],29.01.2002
1970194,VOLLEMAN Tisha,Female,NED,Netherlands,['Artistic Gymnastics'],26.10.1999
1970196,WEVERS Lieke,Female,NED,Netherlands,['Artistic Gymnastics'],17.09.1991
1970200,WEVERS Sanne,Female,NED,Netherlands,['Artistic Gymnastics'],17.09.1991
1970203,RIJKEN Frank,Male,NED,Netherlands,['Artistic Gymnastics'],24.11.1996
1970210,SCHMIDT Casimir,Male,NED,Netherlands,['Artistic Gymnastics'],31.10.1995
1970213,de VEER Martijn,Male,NED,Netherlands,['Artistic Gymnastics'],21.11.2002
1970214,GRUENBERG Jermain,Male,NED,Netherlands,['Artistic Gymnastics'],2.09.2000
1970215,de MUNCK Loran,Male,NED,Netherlands,['Artistic Gymnastics'],9.05.1999
1970260,NUSSER Larissa,Female,NED,Netherlands,['Handball'],8.02.2000
1970262,HAGGERTY Tamara,Female,NED,Netherlands,['Handball'],29.04.1996
1970263,HOUSHEER Dione,Female,NED,Netherlands,['Handball'],26.09.1999
1970264,DULFER Kelly,Female,NED,Netherlands,['Handball'],21.03.1994
1970265,van der HEIJDEN Laura,Female,NED,Netherlands,['Handball'],27.06.1990
1970266,MALESTEIN Angela,Female,NED,Netherlands,['Handball'],31.01.1993
1970267,DUIJNDAM Rinka,Female,NED,Netherlands,['Handball'],6.08.1997
1970268,SCHANSSEMA Bianca,Female,NED,Netherlands,['Handball'],6.01.2005
1970269,POLMAN Estavana,Female,NED,Netherlands,['Handball'],5.08.1992
1970272,van VLIET Lois,Female,NED,Netherlands,['Handball'],15.08.2005
1970274,HENDRIKSE Nathalie,Female,NED,Netherlands,['Handball'],4.04.1995
1970277,MOLENAAR Kim,Female,NED,Netherlands,['Handball'],28.04.2002
1970280,van der HELM Judith,Female,NED,Netherlands,['Handball'],13.01.2005
1970291,ABBINGH Lois,Female,NED,Netherlands,['Handball'],13.08.1992
1970294,van WETERING Bo,Female,NED,Netherlands,['Handball'],5.10.1999
1970295,TEN HOLTE Yara,Female,NED,Netherlands,['Handball'],23.11.1999
1970296,van der VLIET Nikita,Female,NED,Netherlands,['Handball'],14.03.2000
1970300,WAKIM Philippe,Male,LBN,Lebanon,['Fencing'],6.03.2000
1970338,HAKIMI Achraf,Male,MAR,Morocco,['Football'],4.11.1998
1970367,NYANTAI Bayaraa,Male,MGL,Mongolia,['Shooting'],25.09.1991
1970495,van AANHOLT Odile,Female,NED,Netherlands,['Sailing'],14.01.1998
1970497,WENNEKES Sara,Female,NED,Netherlands,['Sailing'],2.05.1996
1970500,BOUWMEESTER Marit,Female,NED,Netherlands,['Sailing'],17.06.1988
1970502,LAMBRIEX Bart,Male,NED,Netherlands,['Sailing'],3.10.1998
1970505,van OPZEELAND Luuc,Male,NED,Netherlands,['Sailing'],21.05.1999
1970507,van de WERKEN Floris,Male,NED,Netherlands,['Sailing'],2.04.1995
1970512,van der MEER Laila,Female,NED,Netherlands,['Sailing'],12.04.2000
1970514,DUETZ Annette,Female,NED,Netherlands,['Sailing'],29.06.1993
1970517,LAMMERTS Annelous,Female,NED,Netherlands,['Sailing'],1.11.1993
1970522,BOUWER Bjarne,Male,NED,Netherlands,['Sailing'],20.02.2003
1970524,BOS Duko,Male,NED,Netherlands,['Sailing'],22.04.1995
1970546,ENKHTAIVAN Davaakhuu,Male,MGL,Mongolia,['Shooting'],12.06.1989
1970548,GELETA Deresa,Male,ETH,Ethiopia,['Athletics'],14.01.1996
1970572,OYUNBAT Yesugen,Female,MGL,Mongolia,['Shooting'],20.06.1999
1970731,RAHIMI Soufiane,Male,MAR,Morocco,['Football'],2.06.1996
