start_date;end_date;status;discipline_code;event_name;phase;gender;venue;event_code;url;schedule_code
1.08.2024 15:56;1.08.2024 16:09;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-001100--;1992
1.08.2024 16:00;1.08.2024 16:50;FINISHED;VBV;Women;Women's Preliminary - Pool B - Matches;W;Eiffel Tower Stadium;79;/en/paris-2024/results/beach-volleyball/women/gpb-000500--;1993
1.08.2024 16:00;1.08.2024 17:10;FINISHED;FEN;Women's Foil Team;Women's Foil Team Finals;W;Grand Palais;154;/en/paris-2024/results/fencing/women-s-foil-team/fnl-000300--;1994
1.08.2024 16:00;1.08.2024 17:10;FINISHED;FEN;Women's Foil Team;Women's Foil Team Finals;W;Grand Palais;154;/en/paris-2024/results/fencing/women-s-foil-team/fnl-000400--;1995
1.08.2024 16:00;1.08.2024 17:30;FINISHED;HBL;Women;Women's Preliminary Round Group B;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpb-001200--;1996
1.08.2024 16:00;1.08.2024 16:06;FINISHED;JUD;Men -100 kg;Men -100 kg Repechage;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/rep1000100--;1997
1.08.2024 16:00;1.08.2024 17:00;FINISHED;TTE;Women's Singles;Women's Singles Quarterfinals;W;South Paris Arena 4;275;/en/paris-2024/results/table-tennis/women-s-singles/qfnl000100--;1998
1.08.2024 16:02;1.08.2024 16:13;FINISHED;BOX;Women's 50kg;Women's 50kg - Prelims - Round of 16;W;North Paris Arena;87;/en/paris-2024/results/boxing/women-s-50kg/8fnl000600--;1999
1.08.2024 16:06;1.08.2024 16:12;FINISHED;JUD;Men -100 kg;Men -100 kg Repechage;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/rep1000200--;2000
1.08.2024 16:09;1.08.2024 16:22;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-001200--;2001
1.08.2024 16:12;1.08.2024 16:18;FINISHED;JUD;Men -100 kg;Men -100 kg Semifinals;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/sfnl000200--;2002
1.08.2024 16:18;1.08.2024 16:29;FINISHED;BOX;Women's 66kg;Women's 66kg - Prelims - Round of 16;W;North Paris Arena;91;/en/paris-2024/results/boxing/women-s-66kg/8fnl000400--;2003
1.08.2024 16:18;1.08.2024 16:24;FINISHED;JUD;Men -100 kg;Men -100 kg Semifinals;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/sfnl000100--;2004
1.08.2024 16:22;1.08.2024 16:35;FINISHED;ARC;Men's Individual;Men's Individual 1/16 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r32-001400--;2005
1.08.2024 16:24;1.08.2024 16:30;FINISHED;JUD;Women -78 kg;Women -78 kg Repechage;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/rep1000100--;2006
1.08.2024 16:30;1.08.2024 16:36;FINISHED;JUD;Women -78 kg;Women -78 kg Repechage;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/rep1000200--;2007
1.08.2024 16:34;1.08.2024 16:45;FINISHED;BOX;Women's 66kg;Women's 66kg - Prelims - Round of 16;W;North Paris Arena;91;/en/paris-2024/results/boxing/women-s-66kg/8fnl000500--;2008
1.08.2024 16:35;1.08.2024 16:48;FINISHED;ARC;Women's Individual;Women's Individual 1/16 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r32-000600--;2009
1.08.2024 16:35;1.08.2024 18:00;FINISHED;WPO;Men;Men's Preliminary Round - Group A;M;Aquatics Centre;299;/en/paris-2024/results/water-polo/men/gpa-000800--;2010
1.08.2024 16:36;1.08.2024 16:42;FINISHED;JUD;Women -78 kg;Women -78 kg Semifinals;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/sfnl000200--;2011
1.08.2024 16:42;1.08.2024 16:48;FINISHED;JUD;Women -78 kg;Women -78 kg Semifinals;W;Champ-de-Mars Arena;172;/en/paris-2024/results/judo/women--78-kg/sfnl000100--;2012
1.08.2024 16:48;1.08.2024 17:01;FINISHED;ARC;Men's Individual;Men's Individual 1/32 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r64-002900--;2013
1.08.2024 16:48;1.08.2024 16:54;FINISHED;JUD;Men -100 kg;Men -100 kg Contests for Bronze Medals;M;Champ-de-Mars Arena;179;/en/paris-2024/results/judo/men--100-kg/repf000100--;2014
