athlete_code,name,gender,country_code,nationality,birth_date
1536157,MPALI Adam,M,GAB,Gabon,2002-05-29
1536175,AMISON Naima-Zahra,F,DJI,Djibouti,2003-10-10
1536184,STREHLKE DELGADO Paulo,M,MEX,Mexico,2006-01-10
1536190,SANDOVAL AYALA Martha,F,MEX,Mexico,1998-08-14
1536196,ESTUDILLO TORRES Alejandra,F,MEX,Mexico,2005-05-20
1536197,CELAYA HERNANDEZ Juan Manuel,M,MEX,Mexico,1998-09-01
1536198,VAZQUEZ MONTANO Aranza,F,MEX,Mexico,2002-08-21
1536207,ALIPOUR SHENAZANDIFARD Reza,M,IRI,IR Iran,1994-04-29
1536214,ALAMIAN Nima,M,IRI,IR Iran,1992-12-24
1536215,ALAMIYAN Noshad,M,IRI,IR Iran,1991-11-21
1536233,YASEEN Taha Hussein,M,IRQ,Iraq,1998-01-01
1536251,MAAN Tulika,F,IND,India,1998-09-09
1536341,ANCER Abraham,M,MEX,Mexico,1991-02-27
1536368,SHARMA Shubhankar,M,IND,India,1996-07-21
1536371,BHULLAR Gaganjeet,M,IND,India,1988-04-27
1536372,GIRMA Ermias,M,ETH,Ethiopia,2005-01-20
1536460,ROJAS Carlos,M,MEX,Mexico,2000-01-14
1536467,MARTINEZ WING Bruno,M,MEX,Mexico,1998-03-08
1536479,VAZQUEZ Ana,F,MEX,Mexico,2000-10-05
1536494,RIVERA Edgar,M,MEX,Mexico,1991-02-13
1536495,TAMAYO-GARZA Cecilia,F,MEX,Mexico,1997-03-04
1536496,ALEMU Habitam,F,ETH,Ethiopia,1997-07-09
1536497,MESELE Worknesh,F,ETH,Ethiopia,2001-06-11
1536498,DUGUMA Tsige,F,ETH,Ethiopia,2001-02-23
1536522,ASHOK Aditi,F,IND,India,1998-03-29
1536523,DAGAR Diksha,F,IND,India,2000-12-14
1536568,FAYISA Abdisa,M,ETH,Ethiopia,2005-04-24
1536585,GUERRERO Ilse,F,MEX,Mexico,1993-03-24
1536599,CHAMA Noel,M,MEX,Mexico,1997-09-15
1536600,ORTIZ Ricardo,M,MEX,Mexico,1995-02-07
1536624,SHAHSAVARI Neda,F,IRI,IR Iran,1986-09-21
1536632,FALLAH Mobina,F,IRI,IR Iran,1999-08-13
1536648,LOH Kean Yew,M,SGP,Singapore,1997-06-26
1536649,HEE Yong Kai Terry,M,SGP,Singapore,1995-07-06
1536650,TAN Wei Han Jessica,F,SGP,Singapore,1993-07-16
1536651,YEO Jia Min,F,SGP,Singapore,1999-02-01
1536669,LABIB Ali,M,IRI,IR Iran,2002-09-21
1536683,FASIHI Farzaneh,F,IRI,IR Iran,1993-01-03
1536701,TAFTIAN Hassan,M,IRI,IR Iran,1993-05-04
1536721,PANWAR Balraj,M,IND,India,1999-07-26
1536885,RICKETTS Shanieka,F,JAM,Jamaica,1992-02-02
1536925,HARRIS Naquille,M,SKN,St Kitts and Nevis,2002-05-16
1536961,DAVOUDI Ali,M,IRI,IR Iran,1999-03-22
1536971,JAVADI ALIABADI Mir Mostafa,M,IRI,IR Iran,2000-06-22
1536983,WELTEJI Diribe,F,ETH,Ethiopia,2002-05-13
1536990,HAYLOM Birke,F,ETH,Ethiopia,2006-01-06
1536992,HAILU Freweyni,F,ETH,Ethiopia,2001-02-12
1536996,AGHAMIRZAEIJENAGHARD Ali,M,IRI,IR Iran,1993-03-04
1536997,MAYALA Freddy,M,CGO,Congo,2000-06-18
1536998,AREGAWI Berihu,M,ETH,Ethiopia,2001-02-28
1536999,KEJELCHA Yomif,M,ETH,Ethiopia,1997-08-01
1537001,GEBRHIWET Hagos,M,ETH,Ethiopia,1994-05-11
1537002,BOBIMBO Vanessa,F,CGO,Congo,1999-12-08
1537010,NGOYE Natacha,F,CGO,Congo,1993-08-15
1537012,SAIKHOM Mirabai Chanu,F,IND,India,1994-08-08
1537049,BAREGA Selemon,M,ETH,Ethiopia,2000-01-20
1537052,TEFERA Samuel,M,ETH,Ethiopia,1999-10-23
1537053,YIHUNE Addisu,M,ETH,Ethiopia,2003-03-17
1537057,MEHARY Biniam,M,ETH,Ethiopia,2006-12-20
1537066,TAYE Ejgayehu,F,ETH,Ethiopia,2000-02-10
1537069,EISA Medina,F,ETH,Ethiopia,2005-01-03
1537079,GEBRESELAMA Tsigie,F,ETH,Ethiopia,2000-09-30
1537135,ZENG Jian,F,SGP,Singapore,1996-11-19
1537137,QUEK Izaac,M,SGP,Singapore,2006-05-26
1537144,VEGA Jerome,M,PUR,United States,1995-04-07
1537145,OWENS-DELERME Ayden,M,PUR,United States,2000-05-28
1537149,de ORBETA Rachelle,F,PUR,United States,2000-03-27
1537150,SCOTT Gabby,F,PUR,United States,1997-01-13
1537163,D'AMOUR Nicholas,M,ISV,United States,2001-09-04
1537168,CASTRO RIVERA Luis,M,PUR,United States,1991-01-29
1537180,CEBALLOS Macarena,F,ARG,Argentina,1995-01-12
1537183,CAMACHO-QUINN Jasmine,F,PUR,United States,1996-08-21
1537185,CHEVRIER Luc,M,LCA,Saint Lucia,1999-06-30
1537187,FERNANDEZ GAMBOA Pedro Luis,M,PUR,United States,1997-06-12
1537188,RIVERA Sebastian C,M,PUR,United States,1998-08-27
1537189,LOZADA MOTTA Ashleyann,F,PUR,United States,1991-07-19
