medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-07-27,2,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946196,SWMM4X100MFRAUS01
2024-07-30,3,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946196,SWMM4X200MFRAUS01
2024-08-03,3,AUS,Mixed,Swimming,Mixed 4 x 100m Medley Relay,1946209,SWMX4X100MMDAUS01
2024-08-01,1,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946157,SWMW4X200MFRAUS01
2024-08-01,1,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946150,SWMW4X200MFRAUS01
2024-08-11,3,AUS,W,Basketball,Women,1939964,BKBWTEAM5---AUS01
2024-08-08,2,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940221,CSPMK4-500M-AUS01
2024-08-11,3,AUS,W,Basketball,Women,1939956,BKBWTEAM5---AUS01
2024-08-07,1,AUS,M,Cycling Track,Men's Team Pursuit,1940265,CTRMPURTEAM4AUS01
2024-08-11,3,AUS,W,Basketball,Women,1939967,BKBWTEAM5---AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947498,WPOWTEAM7---AUS01
2024-07-30,3,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946172,SWMM4X200MFRAUS01
2024-07-27,1,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946221,SWMW4X100MFRAUS01
2024-07-27,2,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946235,SWMM4X100MFRAUS01
2024-08-03,3,AUS,Mixed,Swimming,Mixed 4 x 100m Medley Relay,1946195,SWMX4X100MMDAUS01
2024-08-02,3,USA,M,Sailing,Men's Skiff,1950366,SALM49ER----USA01
2024-08-02,3,USA,M,Sailing,Men's Skiff,1950381,SALM49ER----USA01
2024-08-02,2,SWE,W,Sailing,Women's Skiff,1564653,SALW49ERFX--SWE01
2024-08-02,2,SWE,W,Sailing,Women's Skiff,1564657,SALW49ERFX--SWE01
2024-08-02,1,ESP,M,Sailing,Men's Skiff,1959270,SALM49ER----ESP01
2024-08-02,1,ESP,M,Sailing,Men's Skiff,1959294,SALM49ER----ESP01
2024-08-10,2,BOT,M,Athletics,Men's 4 x 400m Relay,1950939,ATHM4X400M--BOT01
2024-08-10,2,BOT,M,Athletics,Men's 4 x 400m Relay,1950897,ATHM4X400M--BOT01
2024-08-10,2,BOT,M,Athletics,Men's 4 x 400m Relay,1951506,ATHM4X400M--BOT01
2024-08-10,2,BOT,M,Athletics,Men's 4 x 400m Relay,1936983,ATHM4X400M--BOT01
2024-08-10,2,BRA,W,Football,Women,1967574,FBLWTEAM11--BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964152,VVOWTEAM6---BRA01
2024-08-10,2,BRA,W,Football,Women,1967565,FBLWTEAM11--BRA01
2024-07-30,3,BRA,W,Artistic Gymnastics,Women's Team,1953634,GARWTEAM----BRA01
2024-08-10,2,BRA,W,Football,Women,1967567,FBLWTEAM11--BRA01
2024-08-10,2,BRA,W,Football,Women,1967575,FBLWTEAM11--BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964151,VVOWTEAM6---BRA01
2024-07-30,3,BRA,W,Artistic Gymnastics,Women's Team,1953624,GARWTEAM----BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964106,VVOWTEAM6---BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964094,VVOWTEAM6---BRA01
2024-08-03,3,BRA,Mixed,Judo,Mixed Team,1953781,JUDXTEAM6---BRA01
2024-08-10,3,BRA,W,Volleyball,Women,1964063,VVOWTEAM6---BRA01
