medal_date,medal_code,gender,country_code,team_gender,discipline,event,code_athlete,code_team,id
9.08.2024,2,M,SWE,M,Table Tennis,Men's Team,1563390,TTEMTEAM----SWE01,1368
2.08.2024,3,M,SUI,M,Rowing,Men's Pair,1976556,ROWMNOCOX2--SUI01,716
2.08.2024,3,M,SUI,M,Rowing,Men's Pair,1977804,ROWMNOCOX2--SUI01,1692
29.07.2024,3,M,TUR,M,Archery,Men's Team,1565000,ARCMTEAM3---TUR01,650
29.07.2024,3,M,TUR,M,Archery,Men's Team,1565002,ARCMTEAM3---TUR01,1983
29.07.2024,3,M,TUR,M,Archery,Men's Team,1565006,ARCMTEAM3---TUR01,2218
30.07.2024,2,M,TUR,X,Shooting,10m Air Pistol Mixed Team,1564893,SHOXAPMT----TUR02,465
30.07.2024,2,F,TUR,X,Shooting,10m Air Pistol Mixed Team,1564886,SHOXAPMT----TUR02,1920
8.08.2024,1,F,ITA,X,Sailing,Mixed Multihull,1899647,SALXNACRA17-ITA01,126
8.08.2024,1,M,ITA,X,Sailing,Mixed Multihull,1899650,SALXNACRA17-ITA01,1957
3.08.2024,1,F,UKR,W,Fencing,Women's Sabre Team,1897633,FENWTEAMSABRUKR01,121
3.08.2024,1,F,UKR,W,Fencing,Women's Sabre Team,1897644,FENWTEAMSABRUKR01,967
3.08.2024,1,F,UKR,W,Fencing,Women's Sabre Team,1897638,FENWTEAMSABRUKR01,1029
3.08.2024,1,F,UKR,W,Fencing,Women's Sabre Team,1897637,FENWTEAMSABRUKR01,1047
10.08.2024,1,M,USA,M,Basketball,Men,1954688,BKBMTEAM5---USA01,15
10.08.2024,1,F,USA,W,Football,Women,1943542,FBLWTEAM11--USA01,29
27.07.2024,1,M,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,1935869,SWMM4X100MFRUSA01,40
4.08.2024,2,M,USA,M,Swimming,Men's 4 x 100m Medley Relay,1935869,SWMM4X100MMDUSA01,41
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943038,SWAWTEAM8---USA01,48
9.08.2024,3,M,USA,M,Volleyball,Men,1917987,VVOMTEAM6---USA01,62
27.07.2024,1,M,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,1935871,SWMM4X100MFRUSA01,95
4.08.2024,2,M,USA,M,Swimming,Men's 4 x 100m Medley Relay,1935871,SWMM4X100MMDUSA01,96
9.08.2024,3,M,USA,M,Volleyball,Men,1917988,VVOMTEAM6---USA01,104
27.07.2024,2,F,USA,W,Diving,Women's Synchronised 3m Springboard,1954159,DIVW3MTEAM2-USA01,114
10.08.2024,1,M,USA,M,Athletics,Men's 4 x 400m Relay,1960604,ATHM4X400M--USA01,119
10.08.2024,1,M,USA,M,Athletics,Men's 4 x 400m Relay,1960684,ATHM4X400M--USA01,153
4.08.2024,1,F,USA,W,Swimming,Women's 4 x 100m Medley Relay,1935873,SWMW4X100MMDUSA01,162
1.08.2024,1,M,USA,M,Rowing,Men's Four,1944631,ROWMNOCOX4--USA01,166
10.08.2024,1,F,USA,W,Football,Women,4665325,FBLWTEAM11--USA01,167
30.07.2024,1,F,USA,W,Artistic Gymnastics,Women's Team,1959861,GARWTEAM----USA01,179
10.08.2024,1,M,USA,M,Basketball,Men,1954687,BKBMTEAM5---USA01,202
11.08.2024,3,M,USA,M,Water Polo,Men,1908350,WPOMTEAM7---USA01,217
3.08.2024,2,F,USA,X,Athletics,4 x 400m Relay Mixed,1960650,ATHX4X400M--USA01,235
10.08.2024,1,F,USA,W,Athletics,Women's 4 x 400m Relay,1960650,ATHW4X400M--USA01,236
