team_code,coaches_codes
CSPWK2-500M-HUN01,
CSPWK2-500M-HUN02,
CSPWK2-500M-MEX01,
CSPWK2-500M-NED01,
CSPWK2-500M-NOR01,
CSPWK2-500M-NZL01,
CSPWK2-500M-NZL02,
CSPWK2-500M-POL01,
CSPWK2-500M-POL02,
CSPWK2-500M-RSA01,
CSPWK2-500M-SWE01,
CSPWK4-500M-AUS01,
CSPWK4-500M-CAN01,
CSPWK4-500M-CHN01,
CSPWK4-500M-ESP01,
CSPWK4-500M-GER01,
CSPWK4-500M-HUN01,
CSPWK4-500M-NOR01,
CSPWK4-500M-NZL01,
CSPWK4-500M-POL01,
CSPWK4-500M-SRB01,
CTRMMADISON-AUS01,
CTRMMADISON-AUT01,
CTRMMADISON-BEL01,
CTRMMADISON-CAN01,
CTRMMADISON-CZE01,
CTRMMADISON-DEN01,
CTRMMADISON-ESP01,
CTRMMADISON-FRA01,
CTRMMADISON-GBR01,
CTRMMADISON-GER01,
CTRMMADISON-ITA01,
CTRMMADISON-JPN01,
CTRMMADISON-NED01,
CTRMMADISON-NZL01,
CTRMMADISON-POR01,
CTRMPURTEAM4AUS01,
CTRMPURTEAM4BEL01,
CTRMPURTEAM4CAN01,
CTRMPURTEAM4DEN01,
CTRMPURTEAM4FRA01,
CTRMPURTEAM4GBR01,
CTRMPURTEAM4GER01,
CTRMPURTEAM4ITA01,
CTRMPURTEAM4JPN01,
CTRMPURTEAM4NZL01,
CTRMSPRTEAM3AUS01,
CTRMSPRTEAM3CAN01,
CTRMSPRTEAM3CHN01,
CTRMSPRTEAM3FRA01,
CTRMSPRTEAM3GBR01,
CTRMSPRTEAM3GER01,
CTRMSPRTEAM3JPN01,
CTRMSPRTEAM3NED01,
CTRWMADISON-AUS01,
CTRWMADISON-BEL01,
CTRWMADISON-CAN01,
CTRWMADISON-DEN01,
CTRWMADISON-FRA01,
CTRWMADISON-GBR01,
CTRWMADISON-GER01,
CTRWMADISON-IRL01,
CTRWMADISON-ITA01,
CTRWMADISON-JPN01,
CTRWMADISON-NED01,
CTRWMADISON-NZL01,
CTRWMADISON-POL01,
CTRWMADISON-SUI01,
CTRWMADISON-USA01,
CTRWPURTEAM4AUS01,
CTRWPURTEAM4CAN01,
CTRWPURTEAM4FRA01,
CTRWPURTEAM4GBR01,
CTRWPURTEAM4GER01,
CTRWPURTEAM4IRL01,
CTRWPURTEAM4ITA01,
CTRWPURTEAM4JPN01,
CTRWPURTEAM4NZL01,
CTRWPURTEAM4USA01,
CTRWSPRTEAM3CAN01,
CTRWSPRTEAM3CHN01,
CTRWSPRTEAM3GBR01,
CTRWSPRTEAM3GER01,
CTRWSPRTEAM3MEX01,
CTRWSPRTEAM3NED01,
CTRWSPRTEAM3NZL01,
CTRWSPRTEAM3POL01,
DIVM10MTEAM2AUS01,
DIVM10MTEAM2CAN01,
DIVM10MTEAM2CHN01,
DIVM10MTEAM2FRA01,
DIVM10MTEAM2GBR01,
DIVM10MTEAM2GER01,
DIVM10MTEAM2MEX01,
DIVM10MTEAM2UKR01,
DIVM3MTEAM2-CHN01,
DIVM3MTEAM2-ESP01,
DIVM3MTEAM2-FRA01,
DIVM3MTEAM2-GBR01,
DIVM3MTEAM2-ITA01,
DIVM3MTEAM2-MEX01,
DIVM3MTEAM2-UKR01,
DIVM3MTEAM2-USA01,
DIVW10MTEAM2CAN01,
DIVW10MTEAM2CHN01,
DIVW10MTEAM2FRA01,
DIVW10MTEAM2GBR01,
DIVW10MTEAM2MEX01,
DIVW10MTEAM2PRK01,
DIVW10MTEAM2UKR01,
DIVW10MTEAM2USA01,
DIVW3MTEAM2-AUS01,
DIVW3MTEAM2-CHN01,
DIVW3MTEAM2-FRA01,
DIVW3MTEAM2-GBR01,
DIVW3MTEAM2-GER01,
DIVW3MTEAM2-ITA01,
DIVW3MTEAM2-UKR01,
DIVW3MTEAM2-USA01,
EQUODRESTEAMAUS01,
EQUODRESTEAMAUT01,
EQUODRESTEAMBEL01,
EQUODRESTEAMCAN01,
EQUODRESTEAMDEN01,
EQUODRESTEAMESP01,
EQUODRESTEAMFIN01,
EQUODRESTEAMFRA01,
EQUODRESTEAMGBR01,
EQUODRESTEAMGER01,
EQUODRESTEAMNED01,
EQUODRESTEAMPOL01,
EQUODRESTEAMPOR01,
EQUODRESTEAMSWE01,
EQUODRESTEAMUSA01,
EQUOEVENTEAMAUS01,
EQUOEVENTEAMBEL01,
EQUOEVENTEAMBRA01,
EQUOEVENTEAMCAN01,
EQUOEVENTEAMFRA01,
EQUOEVENTEAMGBR01,
EQUOEVENTEAMGER01,
EQUOEVENTEAMIRL01,
EQUOEVENTEAMITA01,
EQUOEVENTEAMJPN01,
EQUOEVENTEAMNED01,
EQUOEVENTEAMNZL01,
EQUOEVENTEAMPOL01,
EQUOEVENTEAMSUI01,
EQUOEVENTEAMSWE01,
EQUOEVENTEAMUSA01,
EQUOJUMPTEAMAUS01,
EQUOJUMPTEAMAUT01,
EQUOJUMPTEAMBEL01,
EQUOJUMPTEAMBRA01,
EQUOJUMPTEAMCAN01,
EQUOJUMPTEAMESP01,
EQUOJUMPTEAMFRA01,
EQUOJUMPTEAMGBR01,
EQUOJUMPTEAMGER01,
EQUOJUMPTEAMIRL01,
EQUOJUMPTEAMISR01,
EQUOJUMPTEAMJPN01,
EQUOJUMPTEAMKSA01,
EQUOJUMPTEAMMEX01,
EQUOJUMPTEAMNED01,
EQUOJUMPTEAMPOL01,
EQUOJUMPTEAMSUI01,
EQUOJUMPTEAMSWE01,
EQUOJUMPTEAMUAE01,
EQUOJUMPTEAMUSA01,
FBLMTEAM11--ARG01,"['1930636', '1933474', '1933763', '1934022']"
FBLMTEAM11--DOM01,"['1972933', '1972992', '1973058']"
FBLMTEAM11--EGY01,"['1953555', '1957027', '1963019']"
FBLMTEAM11--ESP01,"['1942626', '1942627', '1942638']"
FBLMTEAM11--FRA01,"['1900728', '1900729', '1900730', '1900731']"
FBLMTEAM11--GUI01,"['1977689', '3546458', '4968917']"
FBLMTEAM11--IRQ01,"['1535775', '1564287', '3561918']"
FBLMTEAM11--ISR01,"['1956202', '1956206', '1956422']"
FBLMTEAM11--JPN01,"['1953168', '1953169', '1953170']"
FBLMTEAM11--MAR01,"['1969357', '1969386', '1970974']"
FBLMTEAM11--MLI01,"['1917115', '1917164', '1941847']"
FBLMTEAM11--NZL01,"['1944973', '1944974', '1944977', '1944979']"
FBLMTEAM11--PAR01,"['1941852', '1942869', '1943842']"
FBLMTEAM11--UKR01,"['1565657', '1565672']"
FBLMTEAM11--USA01,"['1944188', '1944189', '1944190', '1944191']"
FBLMTEAM11--UZB01,"['1892047', '1892050']"
FBLWTEAM11--AUS01,"['1968802', '1968822', '1968838']"
FBLWTEAM11--BRA01,"['1967642', '1967672', '1967683']"
FBLWTEAM11--CAN01,"['1967254', '1967256', '1967258', '1967262']"
FBLWTEAM11--COL01,"['1930646', '1933569', '1934811']"
FBLWTEAM11--ESP01,"['1963171', '1963174', '1963175']"
FBLWTEAM11--FRA01,"['1930168', '1930169', '1930171', '1930172']"
FBLWTEAM11--GER01,"['1880620', '1880626', '1880629', '1880639']"
FBLWTEAM11--JPN01,"['1888241', '1888242', '1888246']"
FBLWTEAM11--NGR01,"['1973693', '1977388']"
FBLWTEAM11--NZL01,"['1944971', '1944972', '1945000', '1967242']"
FBLWTEAM11--USA01,"['1943302', '1943308', '1943311']"
FBLWTEAM11--ZAM01,"['1928154', '1928714', '1930666', '1931463']"
FENMTEAMEPEECZE01,"['1914528', '1914548', '1914550']"
FENMTEAMEPEEEGY01,"['1936971', '1937285', '1969609']"
FENMTEAMEPEEFRA01,"['1916244', '1916254', '1916257']"
FENMTEAMEPEEHUN01,"['1936541', '1946312', '1946556']"
FENMTEAMEPEEITA01,"['1559026', '1924222', '1924252']"
FENMTEAMEPEEJPN01,"['1896506', '1896508', '1896512']"
FENMTEAMEPEEKAZ01,"['1929648', '1929649', '1959938']"
FENMTEAMEPEEVEN01,"['1925017', '1925047']"
FENMTEAMFOILCAN01,"['1973249', '1973253']"
FENMTEAMFOILCHN01,"['1908666', '1908678']"
FENMTEAMFOILEGY01,"['1937101', '1969633', '1977085']"
FENMTEAMFOILFRA01,"['1916244', '1916263', '1916264']"
FENMTEAMFOILITA01,"['1924214', '1924216', '1924246']"
FENMTEAMFOILJPN01,"['1896499', '1896502', '1896507']"
FENMTEAMFOILPOL01,"['1932782', '1932783', '1932784']"
FENMTEAMFOILUSA01,"['1951745', '1951756', '1951782']"
FENMTEAMSABRCAN01,"['1973249', '1973253']"
