athlete_code,name,gender,country_code,nationality,disciplines,birth_date
1907199,BUESSING Cedric,M,GER,Germany,['Swimming'],17.10.2003
1907200,BARTHEL Timo,M,GER,Germany,['Diving'],3.04.1996
1907201,HENTSCHEL Lena,F,GER,Germany,['Diving'],17.06.2001
1907203,MULLER Jette,F,GER,Germany,['Diving'],1.10.2003
1907204,OETTINGHAUS Saskia,F,GER,Germany,['Diving'],3.04.1998
1907205,PFEIF Pauline Alexandra,F,GER,Germany,['Diving'],7.05.2002
1907207,RUDIGER Lars,M,GER,Germany,['Diving'],17.04.1996
1907209,WASSEN Christina,F,GER,Germany,['Diving'],12.01.1999
1907211,WESEMANN Moritz,M,GER,Germany,['Diving'],10.05.2002
1907212,RODRIGUEZ Rosa Andreina,F,VEN,Venezuela,['Athletics'],2.07.1986
1907214,EIKERMANN GREGORCHUK Jaden Shiloh,M,GER,Germany,['Diving'],14.02.2005
1907219,IMOUDU Melvin,M,GER,Germany,['Swimming'],27.01.1999
1907220,SELIN Artem,M,GER,Germany,['Swimming'],21.05.2002
1907231,MAERTENS Leonie,F,GER,Germany,"['Marathon Swimming', 'Swimming']",8.03.2004
1907234,KLEMET Oliver,M,GER,Germany,"['Marathon Swimming', 'Swimming']",18.03.2002
1907240,BRAUNSCHWEIG Ole,M,GER,Germany,['Swimming'],15.11.1997
1907247,HOLT Nina,F,GER,Germany,['Swimming'],1.02.2003
1907251,VARJASI Peter,M,GER,Germany,['Swimming'],18.01.2000
1907262,SCHULZE Nele,F,GER,Germany,['Swimming'],20.02.2004
1907285,WINKLER Kaii,M,GER,Germany,['Swimming'],27.03.2006
1907297,CAMARA Marine Fatoumatta Colette,F,MLI,Mali,['Boxing'],28.01.1995
1907647,SANCHEZ PAGES Matias,M,ARG,Argentina,['Volleyball'],20.09.1996
1907650,MARTINEZ FRANCHI Jan,M,ARG,Argentina,['Volleyball'],28.01.1998
1907654,PALONSKY Luciano,M,ARG,Argentina,['Volleyball'],8.07.1999
1907656,LOSER Agustin,M,ARG,Argentina,['Volleyball'],12.10.1997
1907658,DANANI Santiago,M,ARG,Argentina,['Volleyball'],12.12.1995
1907671,PALACIOS Ezequiel,M,ARG,Argentina,['Volleyball'],2.10.1992
1907676,LIMA Bruno,M,ARG,Argentina,['Volleyball'],4.02.1996
1907678,GONZALEZ LOPEZ Gaila Ceneida,F,DOM,Dominican Republic,['Volleyball'],25.06.1997
1907680,de CECCO Luciano,M,ARG,Argentina,['Volleyball'],2.06.1988
1907695,KOUKARTSEV Pablo Sergio,M,ARG,Argentina,['Volleyball'],25.03.1993
1907753,FONSECA Natalia,F,ANG,Angola,['Handball'],25.12.1998
1907784,VICENTIN Luciano,M,ARG,Argentina,['Volleyball'],4.04.2000
1907854,GONZALEZ Geraldine Sthefany,F,DOM,Dominican Republic,['Volleyball'],18.04.2002
1907868,CARLOS Azenaide,F,ANG,Angola,['Handball'],14.06.1990
1907874,DOUARRE Ameline,F,FRA,France,['Wrestling'],11.12.2000
1907876,LARROQUE Koumba,F,FRA,France,['Wrestling'],22.08.1998
1907893,SYLLA Mamadassa,M,FRA,France,['Wrestling'],15.06.1993
1907946,PASCOAL Stelvia,F,ANG,Angola,['Handball'],20.10.2002
1907952,MILLER Zion,M,BAH,Bahamas,['Athletics'],18.11.2006
1907957,AHYE Michelle-Lee,F,TTO,Trinidad and Tobago,['Athletics'],10.04.1992
1907958,GARDINER Steven,M,BAH,Bahamas,['Athletics'],12.09.1995
1907961,RUSSELL Alonzo,M,BAH,Bahamas,['Athletics'],8.02.1992
1907968,AUGUSTINE Devin,M,TTO,Trinidad and Tobago,['Athletics'],2.12.2003
1907972,KASSOMA Albertina,F,ANG,Angola,['Handball'],12.06.1996
1907975,MARTINEZ Jineiry,F,DOM,Dominican Republic,['Volleyball'],3.12.1997
1908134,THOMAS Donald,M,BAH,Bahamas,['Athletics'],1.07.1984
1908136,PAULO Helena,F,ANG,Angola,['Handball'],24.01.1998
1908149,RAMOS Martin,M,ARG,Argentina,['Volleyball'],26.08.1991
1908151,ZERBA Nicolas,M,ARG,Argentina,['Volleyball'],13.06.1999
1908152,SANTOS Natalia,F,ANG,Angola,['Handball'],25.12.1986
1908163,CONTE Facundo,M,ARG,Argentina,['Volleyball'],25.08.1989
1908169,ANDREWS Antoine,M,BAH,Bahamas,['Athletics'],12.04.2003
1908173,MILLER Wendell,M,BAH,Bahamas,['Athletics'],3.01.2003
1908181,CHARLTON Devynne,F,BAH,Bahamas,['Athletics'],26.11.1995
1908183,MILLER-UIBO Shaunae,F,BAH,Bahamas,['Athletics'],15.04.1994
1908195,DOLGOPYAT Artem,M,ISR,Israel,['Artistic Gymnastics'],16.06.1997
1908198,GUILLEN PAREDES Madeline Jazmin,F,DOM,Dominican Republic,['Volleyball'],4.06.2001
1908219,RAZ Lihie,F,ISR,Israel,['Artistic Gymnastics'],14.09.2003
1908226,BAKANOV Shani,F,ISR,Israel,['Rhythmic Gymnastics'],27.02.2006
1908229,OTABOR Rhema,F,BAH,Bahamas,['Athletics'],3.12.2002
1908230,SVERTSOV Diana,F,ISR,Israel,['Rhythmic Gymnastics'],15.11.2004
1908232,TAYLOR Charisma,F,BAH,Bahamas,['Athletics'],3.09.1999
1908233,PARITZKI Romi,F,ISR,Israel,['Rhythmic Gymnastics'],17.06.2004
1908235,SHAHAM Ofir,F,ISR,Israel,['Rhythmic Gymnastics'],23.11.2004
1908239,MAITA Jose,M,VEN,Venezuela,['Athletics'],17.04.1998
1908240,FRIEDMANN Adar,F,ISR,Israel,['Rhythmic Gymnastics'],18.07.2006
1908246,ATAMANOV Daria,F,ISR,Israel,['Rhythmic Gymnastics'],6.12.2005
1908256,MARTE FRICA Niverka Dharlenis,F,DOM,Dominican Republic,['Volleyball'],19.10.1990
1908261,MOTA Yoveinny,F,VEN,Venezuela,['Athletics'],20.06.2000
1908279,GUZMAN Lucas,M,ARG,Argentina,['Taekwondo'],17.07.1994
1908292,TAYLOR Lamar,M,BAH,Bahamas,['Swimming'],21.06.2003
1908304,GIBBS Rhanishka,F,BAH,Bahamas,['Swimming'],19.04.2006
1908333,LAFOND Thea,F,DMA,Dominica,['Athletics'],5.04.1994
1908350,BOWEN Alex,M,USA,United States,['Water Polo'],4.09.1993
1908352,CUPIDO Luca,M,USA,United States,['Water Polo'],9.11.1995
1908353,DAUBE Hannes,M,USA,United States,['Water Polo'],5.01.2000
1908354,DODD Chase William,M,USA,United States,['Water Polo'],5.04.2003
1908355,DODD Ryder,M,USA,United States,['Water Polo'],19.01.2006
1908357,HALLOCK Ben,M,USA,United States,['Water Polo'],22.11.1997
1908359,HOLLAND Drew,M,USA,United States,['Water Polo'],11.04.1995
1908360,HOOPER Johnny,M,USA,United States,['Water Polo'],24.06.1997
1908361,IRVING Max,M,USA,United States,['Water Polo'],21.05.1995
1908365,OBERT Alex,M,USA,United States,['Water Polo'],18.12.1991
1908369,VAVIC Marko,M,USA,United States,['Water Polo'],25.04.1999
1908370,WEINBERG Adrian,M,USA,United States,['Water Polo'],25.11.2001
1908371,WOODHEAD Dylan,M,USA,United States,['Water Polo'],25.09.1998
1908373,AUSMUS Emily Mary,F,USA,United States,['Water Polo'],12.12.2005
1908375,FATTAL Rachel,F,USA,United States,['Water Polo'],10.12.1993
1908376,FLYNN Jenna,F,USA,United States,['Water Polo'],11.06.2004
1908377,GILCHRIST Kaleigh,F,USA,United States,['Water Polo'],16.05.1992
1908378,JOHNSON Ashleigh,F,USA,United States,['Water Polo'],12.09.1994
1908381,LONGAN Amanda,F,USA,United States,['Water Polo'],16.01.1997
1908383,MUSSELMAN Maddie,F,USA,United States,['Water Polo'],16.06.1998
1908384,NEUSHUL Ryann,F,USA,United States,['Water Polo'],30.12.1999
1908385,PRENTICE Tara,F,USA,United States,['Water Polo'],20.12.1997
1908386,RANEY Jordan,F,USA,United States,['Water Polo'],2.06.1996
1908387,ROEMER Jewel,F,USA,United States,['Water Polo'],8.02.2002
1908389,STEFFENS Maggie,F,USA,United States,['Water Polo'],4.06.1993
1908395,SEKULIC Jovana,F,USA,United States,['Water Polo'],7.11.2002
1908446,ARIAS CUERVO Diego Alfonso,M,COL,Colombia,['Cycling Mountain Bike'],9.02.1988
1908518,CUADRADO FLOREZ Stefany,F,COL,Colombia,['Cycling Track'],2.05.2006
1908522,GAVIRIA RENDON Fernando,M,COL,Colombia,['Cycling Track'],19.08.1994
1908548,MESTRE VIVAS Alfonso Enrique,M,VEN,Venezuela,['Swimming'],24.09.2001
1908557,BIRKETT Andrew James,M,RSA,South Africa,['Canoe Sprint'],9.10.1990
1908590,OLIVIER Esti,F,RSA,South Africa,['Canoe Sprint'],10.12.1992
1908592,LOVEMORE Hamish,M,RSA,South Africa,['Canoe Sprint'],19.08.1999
1908600,KOCH Tiffany Amber,F,RSA,South Africa,['Canoe Sprint'],18.07.1987
1908609,AHMADOU YOUSSOUFOU Salima,F,NIG,Niger,['Swimming'],21.10.2003
1908610,MAMANE HAMISSOU ABBA Marouane,M,NIG,Niger,['Swimming'],21.01.2009
1908622,PENA ISABEL Yonkaira Paola,F,DOM,Dominican Republic,['Volleyball'],10.05.1993
1908651,YANG Hengyu,F,CHN,China,['Fencing'],22.07.1996
1908715,MATSUDA Rinka,F,JPN,Japan,['Rugby Sevens'],5.12.2001
1908716,TSUJISAKI Yukino,F,JPN,Japan,['Rugby Sevens'],21.06.1994
1908717,NISHI Arisa,F,JPN,Japan,['Rugby Sevens'],29.05.2004
1908720,UTSUMI Hanako,F,JPN,Japan,['Rugby Sevens'],16.03.2000
1908721,UEDA Kazuma,M,JPN,Japan,['Rugby Sevens'],4.12.2002
1908724,TANINAKA Kippei,M,JPN,Japan,['Rugby Sevens'],4.06.2000
1908725,MARUO Takamasa,M,JPN,Japan,['Rugby Sevens'],8.01.1999
1908726,KEREVI Josua,M,JPN,Japan,['Rugby Sevens'],18.06.1992
1908727,YOSHIZAWA Taichi,M,JPN,Japan,['Rugby Sevens'],18.07.1991
1908733,OKUDAIRA Yu,M,JPN,Japan,['Rugby Sevens'],26.05.1999
1908735,MIZUTANI Sakura,F,JPN,Japan,['Rugby Sevens'],13.12.2003
1908737,SAEGUSA Chiaki,F,JPN,Japan,['Rugby Sevens'],21.03.1997
1908738,KOGA Yoshiyuki,M,JPN,Japan,['Rugby Sevens'],28.08.1998
1908739,NOGUCHI Yoshihiro,M,JPN,Japan,['Rugby Sevens'],26.12.1994
1908741,MATSUMOTO Junya,M,JPN,Japan,['Rugby Sevens'],17.03.2000
1908743,TANAKA Emii,F,JPN,Japan,['Rugby Sevens'],19.10.1999
1908746,ISHIDA Taiga,M,JPN,Japan,['Rugby Sevens'],1.10.1997
1908748,FUKUSHI Moeki,M,JPN,Japan,['Rugby Sevens'],11.03.1999
1908749,TSUOKA Shotaro,M,JPN,Japan,['Rugby Sevens'],22.03.1996
1908753,HIRANO Yume,F,JPN,Japan,['Rugby Sevens'],15.03.2000
1908754,HARA Wakaba,F,JPN,Japan,['Rugby Sevens'],6.01.2000
1908757,TSUTSUMI Honoka,F,JPN,Japan,['Rugby Sevens'],19.06.1997
1908759,KAJIKI Marin,F,JPN,Japan,['Rugby Sevens'],20.09.1999
1908760,OHTANI Mei,F,JPN,Japan,['Rugby Sevens'],28.05.2000
1908765,ISHIDA Kippei,M,JPN,Japan,['Rugby Sevens'],28.04.2000
1908767,NAKAMURA Chiharu,F,JPN,Japan,['Rugby Sevens'],25.04.1988
1908816,WONG Hayley,F,BRU,Brunei Darussalam,['Swimming'],13.05.2008
1908817,ALCANTARA REYES Yunior,M,DOM,Dominican Republic,['Boxing'],10.02.2004
1908820,MORONTA HERNANDEZ Maria Altagracia,F,DOM,Dominican Republic,['Boxing'],6.07.1996
1908825,VO Thi Kim Anh,F,VIE,Vietnam,['Boxing'],29.07.1997
1908830,BERTRAND Leah,F,TTO,Trinidad and Tobago,['Athletics'],26.07.2002
1908835,TEBA Iowane,M,FIJ,Fiji,['Rugby Sevens'],23.02.1993
1908838,TALACOLO Joseva,M,FIJ,Fiji,['Rugby Sevens'],1.04.1997
1908841,RASAKU Kaminieli,M,FIJ,Fiji,['Rugby Sevens'],12.07.1999
1908846,FENG Yu,F,CHN,China,['Artistic Swimming'],30.09.1999
1908847,CHANG Hao,F,CHN,China,['Artistic Swimming'],28.04.1997
1908848,CHENG Wentao,F,CHN,China,['Artistic Swimming'],18.05.1998
1908850,WANG Ciyue,F,CHN,China,['Artistic Swimming'],14.11.1999
1908851,ZHANG Yayi,F,CHN,China,['Artistic Swimming'],6.05.1997
1908852,WANG Liuyi,F,CHN,China,['Artistic Swimming'],16.01.1997
1908853,WANG Qianyi,F,CHN,China,['Artistic Swimming'],16.01.1997
1908854,XIAO Yanning,F,CHN,China,['Artistic Swimming'],23.02.1998
1908855,XIANG Binxuan,F,CHN,China,['Artistic Swimming'],16.11.2001
1908873,FREDERICK Sanaa,F,TTO,Trinidad and Tobago,['Athletics'],3.01.2006
1908875,FREDERICK Sole,F,TTO,Trinidad and Tobago,['Athletics'],3.01.2006
1908883,CUI Chenxi,F,CHN,China,['Skateboarding'],19.12.2009
1908885,ZENG Wenhui,F,CHN,China,['Skateboarding'],8.02.2005
1908888,ZHU Yuanling,F,CHN,China,['Skateboarding'],13.02.2011
1908891,ZHENG Haohao,F,CHN,China,['Skateboarding'],11.08.2012
1908897,NASOVA Joji,M,FIJ,Fiji,['Rugby Sevens'],9.06.2000
1908901,SAUTURAGA Filipe,M,FIJ,Fiji,['Rugby Sevens'],19.06.1994
1908911,TUWAI Jerry,M,FIJ,Fiji,['Rugby Sevens'],23.03.1989
1908975,LATIFF Sophia,F,TAN,Tanzania,['Swimming'],24.12.2006
1908978,NABI Jehanara,F,PAK,Pakistan,['Swimming'],14.07.2004
1909004,FEUILLET Remi,M,MRI,Mauritius,['Judo'],22.12.1992
1909011,BOLTAEV Davlat,M,TJK,Tajikistan,['Boxing'],13.01.1999
