start_date,end_date,status,phase,gender,venue,event_code,url
2024-07-27 09:00:00,2024-07-27 09:30:00,FINISHED,10m Air Rifle Mixed Team Qualification,X,Chateauroux Shooting Ctr,226,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/qual000100--
2024-07-27 09:00:00,2024-07-27 10:30:00,FINISHED,Men's Preliminary Round - Pool C,M,South Paris Arena 1,297,/en/paris-2024/results/volleyball/men/gpc-000100--
2024-07-27 09:20:00,2024-07-27 10:00:00,FINISHED,Women's Singles Group Play Stage - Grp I,W,La Chapelle Arena,70,/en/paris-2024/results/badminton/women-s-singles/gpi-000300--
2024-07-27 09:20:00,2024-07-27 10:00:00,FINISHED,Men's Doubles Group Play Stage - Grp A,M,La Chapelle Arena,71,/en/paris-2024/results/badminton/men-s-doubles/gpa-000100--
2024-07-27 09:20:00,2024-07-27 10:00:00,FINISHED,Mixed Doubles Group Play Stage - Grp D,X,La Chapelle Arena,73,/en/paris-2024/results/badminton/mixed-doubles/gpd-000500--
2024-07-27 09:30:00,2024-07-27 18:30:00,FINISHED,Eventing Team Dressage,O,Château de Versailles,141,/en/paris-2024/results/equestrian/eventing/drss000100--
2024-07-27 09:30:00,2024-07-27 18:30:00,FINISHED,Eventing Individual Dressage,O,Château de Versailles,142,/en/paris-2024/results/equestrian/eventing/drss000100--
2024-07-27 10:00:00,2024-07-27 10:25:00,FINISHED,Women's Épée Individual Table of 64,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r64-000200--
2024-07-27 10:00:00,2024-07-27 10:25:00,FINISHED,Women's Épée Individual Table of 64,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r64-001500--
2024-07-27 10:00:00,2024-07-27 10:25:00,FINISHED,Women's Épée Individual Table of 64,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r64-001800--
2024-07-27 10:00:00,2024-07-27 10:25:00,FINISHED,Women's Épée Individual Table of 64,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r64-003100--
2024-07-27 10:00:00,2024-07-27 11:30:00,FINISHED,Men's Pool A,M,Yves-du-Manoir Stadium,165,/en/paris-2024/results/hockey/men/gpa-000100--
2024-07-27 10:00:00,2024-07-27 10:06:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000200--
2024-07-27 10:00:00,2024-07-27 10:06:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-000200--
